,ts,uvIndex
143,1667898000000000000,1
144,1667908800000000000,1
145,1667919600000000000,1
146,1667930400000000000,0
147,1667941200000000000,0
148,1667952000000000000,0
149,1667962800000000000,0
150,1667973600000000000,0
151,1667984400000000000,1
152,1667995200000000000,1
153,1668006000000000000,1
154,1668016800000000000,0
155,1668027600000000000,0
156,1668038400000000000,0
157,1668049200000000000,0
158,1668060000000000000,0
159,1668070800000000000,1
160,1668081600000000000,1
161,1668092400000000000,1
162,1668103200000000000,0
163,1668114000000000000,0
164,1668124800000000000,0
165,1668135600000000000,0
166,1668146400000000000,0
167,1668157200000000000,1
168,1668168000000000000,1
169,1668178800000000000,1
170,1668189600000000000,0
171,1668200400000000000,0
172,1668211200000000000,0
173,1668222000000000000,0
174,1668232800000000000,0
175,1668243600000000000,1
176,1668254400000000000,1
177,1668265200000000000,1
178,1668276000000000000,0
179,1668286800000000000,0
180,1668297600000000000,0
181,1668308400000000000,0
182,1668319200000000000,0
183,1668330000000000000,1
184,1668340800000000000,1
185,1668351600000000000,1
186,1668362400000000000,0
187,1668373200000000000,0
188,1668384000000000000,0
189,1668394800000000000,0
190,1668405600000000000,0
191,1668416400000000000,1
192,1668427200000000000,1
193,1668438000000000000,1
194,1668448800000000000,0
195,1668459600000000000,0
196,1668470400000000000,0
197,1668481200000000000,0
198,1668492000000000000,0
199,1668502800000000000,1
200,1668513600000000000,1
201,1668524400000000000,1
202,1668535200000000000,0
203,1668546000000000000,0
204,1668556800000000000,0
205,1668567600000000000,0
206,1668578400000000000,0
207,1668589200000000000,1
208,1668600000000000000,1
209,1668610800000000000,1
210,1668621600000000000,0
211,1668632400000000000,0
212,1668643200000000000,0
213,1668654000000000000,0
214,1668664800000000000,0
215,1668675600000000000,1
216,1668686400000000000,1
217,1668697200000000000,1
218,1668708000000000000,0
219,1668718800000000000,0
220,1668729600000000000,0
221,1668740400000000000,0
222,1668751200000000000,0
223,1668762000000000000,1
224,1668772800000000000,1
225,1668783600000000000,1
226,1668794400000000000,0
227,1668805200000000000,0
228,1668816000000000000,0
229,1668826800000000000,0
230,1668837600000000000,0
231,1668848400000000000,1
232,1668859200000000000,1
233,1668870000000000000,1
234,1668880800000000000,0
235,1668891600000000000,0
236,1668902400000000000,0
237,1668913200000000000,0
238,1668924000000000000,0
239,1668934800000000000,1
240,1668945600000000000,1
241,1668956400000000000,1
242,1668967200000000000,0
243,1668978000000000000,0
244,1668988800000000000,0
245,1668999600000000000,0
246,1669010400000000000,0
247,1669021200000000000,1
248,1669032000000000000,1
249,1669042800000000000,1
250,1669053600000000000,0
251,1669064400000000000,0
252,1669075200000000000,0
253,1669086000000000000,0
254,1669096800000000000,0
255,1669107600000000000,1
256,1669118400000000000,1
257,1669129200000000000,1
258,1669140000000000000,0
259,1669150800000000000,0
260,1669161600000000000,0
261,1669172400000000000,0
262,1669183200000000000,0
263,1669194000000000000,1
264,1669204800000000000,1
