,ts,windDirectionFrom10m
143,1667898000000000000,212
144,1667908800000000000,226
145,1667919600000000000,238
146,1667930400000000000,235
147,1667941200000000000,240
148,1667952000000000000,244
149,1667962800000000000,234
150,1667973600000000000,253
151,1667984400000000000,260
152,1667995200000000000,263
153,1668006000000000000,252
154,1668016800000000000,241
155,1668027600000000000,256
156,1668038400000000000,238
157,1668049200000000000,241
158,1668060000000000000,235
159,1668070800000000000,225
160,1668081600000000000,233
161,1668092400000000000,231
162,1668103200000000000,210
163,1668114000000000000,197
164,1668124800000000000,194
165,1668135600000000000,198
166,1668146400000000000,200
167,1668157200000000000,201
168,1668168000000000000,203
169,1668178800000000000,190
170,1668189600000000000,154
171,1668200400000000000,161
172,1668211200000000000,157
173,1668222000000000000,202
174,1668232800000000000,129
175,1668243600000000000,110
176,1668254400000000000,124
177,1668265200000000000,108
178,1668276000000000000,100
179,1668286800000000000,91
180,1668297600000000000,117
181,1668308400000000000,106
182,1668319200000000000,102
183,1668330000000000000,106
184,1668340800000000000,96
185,1668351600000000000,110
186,1668362400000000000,87
187,1668373200000000000,100
188,1668384000000000000,147
189,1668394800000000000,105
190,1668405600000000000,120
191,1668416400000000000,173
192,1668427200000000000,227
193,1668438000000000000,185
194,1668448800000000000,257
195,1668459600000000000,236
196,1668470400000000000,202
197,1668481200000000000,181
198,1668492000000000000,171
199,1668502800000000000,173
200,1668513600000000000,209
201,1668524400000000000,234
202,1668535200000000000,234
203,1668546000000000000,239
204,1668556800000000000,215
205,1668567600000000000,206
206,1668578400000000000,199
207,1668589200000000000,262
208,1668600000000000000,228
209,1668610800000000000,184
210,1668621600000000000,117
211,1668632400000000000,189
212,1668643200000000000,251
213,1668654000000000000,273
214,1668664800000000000,269
215,1668675600000000000,264
216,1668686400000000000,264
217,1668697200000000000,263
218,1668708000000000000,271
219,1668718800000000000,267
220,1668729600000000000,267
221,1668740400000000000,267
222,1668751200000000000,271
223,1668762000000000000,275
224,1668772800000000000,284
225,1668783600000000000,288
226,1668794400000000000,286
227,1668805200000000000,292
228,1668816000000000000,297
229,1668826800000000000,299
230,1668837600000000000,302
231,1668848400000000000,303
232,1668859200000000000,289
233,1668870000000000000,273
234,1668880800000000000,256
235,1668891600000000000,227
236,1668902400000000000,222
237,1668913200000000000,202
238,1668924000000000000,251
239,1668934800000000000,265
240,1668945600000000000,275
241,1668956400000000000,278
242,1668967200000000000,279
243,1668978000000000000,273
244,1668988800000000000,267
245,1668999600000000000,247
246,1669010400000000000,226
247,1669021200000000000,212
248,1669032000000000000,226
249,1669042800000000000,253
250,1669053600000000000,272
251,1669064400000000000,269
252,1669075200000000000,282
253,1669086000000000000,334
254,1669096800000000000,336
255,1669107600000000000,336
256,1669118400000000000,281
257,1669129200000000000,261
258,1669140000000000000,296
259,1669150800000000000,231
260,1669161600000000000,270
261,1669172400000000000,279
262,1669183200000000000,223
263,1669194000000000000,224
264,1669204800000000000,231
